N;REGION;PREFECTURE;CANTON;LOCALITE;INFRASTRUCTURE;SECTEUR;TYPE;STATUT;ETAT;LATITUDE;LONGITUDE;ALTITUDE
2;MARITIME;ZIO;TSEVIE;TSEVIE;COMPLEXE SCOLAIRE SAINT CHRISTOPHE;EDUCATION;CEG;PRIVE;Bon;6,419628;1,202722;110.676636
10;MARITIME;ZIO;TSEVIE;TSEVIE;CEG VILLE IV;EDUCATION;CEG;PUBLIC;Bon;6,407399;1,201226;110.676636
17;MARITIME;ZIO;TSEVIE;TSEVIE;GROUPE SCOLAIRE SAINTE FATIMA;EDUCATION;CEG;PRIVE;Bon;6,410925;1,211725;94.094116
22;MARITIME;LACS;AGOUEGAN;AGBANAKIN;CEGIL D'AGBANAKIN;EDUCATION;CEGIL;PUBLIC;Bon;6,289514;1,800708;10.459961
35;MARITIME;LACS;GLIDJI;AMADOTE;ECOLE PRIVEE LAIQUE LA PASSERELLE;EDUCATION;CEG;PRIVE;Bon;6,23822;1,613823;9.498657
38;MARITIME;LACS;AGBODRAFO;SEWATSIKOPE;CEG DE SEWATSI KOPE;EDUCATION;CEG;PUBLIC;Bon;6,22351;1,513549;8.056641
49;MARITIME;LACS;AKLAKOU;AKLAKOU;LYCEE D'AKLAKOU;EDUCATION;CEG;PUBLIC;Bon;6,331759;1,70744;39.539551
53;MARITIME;LACS;AKLAKOU;AKLAKOU;ECOLE PRIVEE LA LUMIERE;EDUCATION;CEG;PRIVE;Mauvais;6,336983;1,710201;29.205566
58;MARITIME;LACS;FIATA + GANAVE;FIATA DOME;CEG FIATA;EDUCATION;CEG;PUBLIC;Bon;6,323771;1,641355;39.05896
60;MARITIME;BAS-MONO;HOMPOU;APOUVIKOPE;CEG APOUVIKOPE;EDUCATION;CEG;PUBLIC;Bon;6,408532;1,682452;52.517334
66;MARITIME;BAS-MONO;ATTITOGON;ATTIVE;CEGIL ATTIVE;EDUCATION;CEGIL;PUBLIC;Mauvais;6,457936;1,707308;14.305298
67;MARITIME;BAS-MONO;AGOME-GLOZOU + AGBETIKO;BATONOU;CEG DE BATONOU;EDUCATION;CEG;CONFESSIONNEL;Bon;6,439167;1,756473;9.017944
78;MARITIME;VO;MOME-HOUNKPATI;MOME KATIHOE;CEG MOME KATIHOE;EDUCATION;CEG;PUBLIC;Bon;6,518401;1,550233;61.890137
91;MARITIME;VO;MOME-HOUNKPATI;MOME HOUNKPATI;CEG MOME HOUNKPATI;EDUCATION;CEG;PUBLIC;Bon;6,468039;1,557915;87.364868
96;MARITIME;VO;MOME-HOUNKPATI;ATSANSI;CEGIL ATSANSI;EDUCATION;CEGIL;PUBLIC;Mauvais;6,444349;1,543537;61.169189
103;MARITIME;VO;MOME-HOUNKPATI;AVEGLOEDJI;CEGIL AVEGLOEDJI;EDUCATION;CEGIL;PUBLIC;Mauvais;6,440062;1,562238;72.224121
110;MARITIME;VO;VO-KOUTIME;BOKO;CEGIL DE BOKO;EDUCATION;CEGIL;PUBLIC;Bon;6,333289;1,584967;33.050781
119;MARITIME;VO;VO-KOUTIME;KPOTA;CEG KPOTA;EDUCATION;CEG;PUBLIC;Mauvais;6,37255;1,58674;52.036743
124;MARITIME;VO;VO-KOUTIME;VO-KPONOU;CEG VO-KPONOU;EDUCATION;CEG;PUBLIC;Bon;6,393724;1,576748;40.741211
134;MARITIME;VO;VO-KOUTIME;VO KOUTIME;CEG DE VO KOUTIME;EDUCATION;CEG;PUBLIC;Bon;6,359442;1,561783;40.500977
140;MARITIME;VO;VO-KOUTIME;DJEKOPE;CEG DJEKOPE;EDUCATION;CEG;PUBLIC;Mauvais;6,393962;1,585149;53.718994
158;MARITIME;VO;HAHOTOE;HAHOTOE;COLLEGE SANTE BARBE;EDUCATION;CEG;PARA PUBLIC;Bon;6,365422;1,404862;65.014404
161;MARITIME;VO;HAHOTOE;HAHOTOE;CEG HAHOTOE;EDUCATION;CEG;PUBLIC;Bon;6,365291;1,408012;60.688477
168;MARITIME;YOTO;TOMETY KONDJI;AGODOME;CEGIL D'AGODOME;EDUCATION;CEGIL;PUBLIC;Mauvais;6,758204;1,500777;149.609741
172;MARITIME;YOTO;TOMETY KONDJI;ZOUVI;CEGIL DE ZOUVI;EDUCATION;CEGIL;PUBLIC;Mauvais;6,781533;1,511766;156.338989
179;MARITIME;YOTO;TOMETY KONDJI;TOMETY KONDJI;CEG TOMETY KONDJI;EDUCATION;CEG;PUBLIC;Bon;6,772849;1,533575;132.546509
193;MARITIME;YOTO;AHEPE;AHEPE;LYCEE AHEPE;EDUCATION;CEG;PUBLIC;Bon;6,606354;1,394081;141.678955
200;MARITIME;YOTO;AHEPE;KPOWLA AKPOSSO;CEG AHEPE;EDUCATION;CEG;PUBLIC;Mauvais;6,600395;1,385117;139.275635
211;MARITIME;YOTO;AHEPE;SEVA;COLLEGE ORTHODOXE DE LA DORMITION;EDUCATION;CEG;CONFESSIONNEL;Mauvais;6,602394;1,404093;136.391724
213;MARITIME;YOTO;ZAFI;ZAFI;CEG ZAFI;EDUCATION;CEG;PUBLIC;Mauvais;6,620709;1,380107;166.432617
217;MARITIME;YOTO;ZAFI;ZAFI;CEG METHODISTE DE ZAFI;EDUCATION;CEG;CONFESSIONNEL;Mauvais;6,625898;1,374473;148.648438
225;MARITIME;ZIO;KPOME;KPOME AGOME;CEG KPOME AKADJAME-AGOME;EDUCATION;CEG;PUBLIC;Bon;6,332543;1,338743;46.268921
238;MARITIME;AVE;NOEPE;ATCHAKPO;COLEGE JEUNESSE EN MISSION;EDUCATION;CEG;CONFESSIONNEL;Bon;6,29768;1,020612;77.271118
244;MARITIME;AVE;KEVE;KEVE;COMPLEXE SCOLAIRE LA RELEVE;EDUCATION;CEG;PRIVE;Bon;6,427469;0,930806;129.181885
248;MARITIME;AVE;KEVE;ZOGBEPIME;CEG ZOGBEPIME;EDUCATION;CEG;PUBLIC;Bon;6,442509;0,974615;101.544189
255;MARITIME;AVE;KEVE;YOMETCHIN;CEG YOMETCHIN;EDUCATION;CEG;PUBLIC;Bon;6,480534;1,005082;114.04126
262;MARITIME;AVE;KEVE;ANYRON;CEG ANYRON;EDUCATION;CEG;PUBLIC;Mauvais;6,511565;0,980011;103.22644
278;MARITIME;ZIO;WLI;WLI-CENTRE;CEG WLI-CENTRE;EDUCATION;CEG;PUBLIC;Bon;6,403101;1,159442;103.22644
289;MARITIME;ZIO;DAVIE;DAVIE;COMPLEXE SCOLAIRE SEYDOU;EDUCATION;CEG;PRIVE;Mauvais;6,364632;1,216654;66.216064
294;MARITIME;ZIO;AGBELOUVE;AGBELOUVE;CEG AGBELOUVE;EDUCATION;CEG;PUBLIC;Mauvais;6,670552;1,177282;125.577026
296;MARITIME;ZIO;AGBELOUVE;AVEDZE;CEG D'AVEDZE;EDUCATION;CEG;PUBLIC;Mauvais;6,670217;1,231493;123.173706
300;MARITIME;ZIO;TSEVIE;DEDEKE;CEGIL DE DEDEKE;EDUCATION;CEGIL;PUBLIC;Mauvais;6,51463;1,193543;70.782227
322;MARITIME;ZIO;DJAGBLE;DJAGBLE;COMPLEXE SCOLAIRE TRONE DE DIEU;EDUCATION;CEG;PRIVE;Bon;6,25794;1,281418;44.586548
