N;REGION;PREFECTURE;CANTON;LOCALITE;INFRASTRUCTURE;SECTEUR;TYPE;STATUT;ETAT;LATITUDE;LONGITUDE;ALTITUDE
3;MARITIME;ZIO;TSEVIE;TSEVIE;COMPLEXE SCOLAIRE LES DISCIPLES II;EDUCATION;JARDIN D’ENFANT;PRIVE;Mauvais;6,415743;1,198619;105.389404
5;MARITIME;ZIO;TSEVIE;TSEVIE;ECOLE PRIVEE LAIQUE DIDEROT;EDUCATION;JARDIN D’ENFANT;PRIVE;Bon;6,416362;1,20982;103.466797
7;MARITIME;ZIO;TSEVIE;TSEVIE;EPP DAVIEMODJI;EDUCATION;JARDIN D’ENFANT;PUBLIC;Bon;6,41371;1,206969;105.149048
12;MARITIME;ZIO;TSEVIE;TSEVIE;ESAM 3;EDUCATION;JARDIN D’ENFANT;PRIVE;Bon;6,402767;1,208932;103.466797
13;MARITIME;ZIO;TSEVIE;TSEVIE;ECOLE PRIVEE LAIQUE LA MATURITE;EDUCATION;JARDIN D’ENFANT;PRIVE;Bon;6,407287;1,209576;89.287476
15;MARITIME;ZIO;TSEVIE;TSEVIE;GROUPE SCOLAIRE SAINTE FATIMA;EDUCATION;JARDIN D’ENFANT;PRIVE;Bon;6,411013;1,211758;94.815063
19;MARITIME;ZIO;TSEVIE;TSEVIE;ECOLE PRIMAIRE PRIVEE LAIQUE FIATY;EDUCATION;JARDIN D’ENFANT;PRIVE;Bon;6,415324;1,212949;98.419922
23;MARITIME;LACS;AGOUEGAN;AGBANAKIN;JARDIN D'ENFANTS D'AGBANAKIN;EDUCATION;JARDIN D’ENFANT;PUBLIC;Bon;6,289348;1,800785;10.459961
27;MARITIME;LACS;AGOUEGAN;SEKO;JARDIN D'ENFANTS CATHOLIQUE;EDUCATION;JARDIN D’ENFANT;CONFESSIONNEL;Bon;6,263941;1,709789;15.747192
29;MARITIME;LACS;AGOUEGAN;AGOUEGAN;ECOLE METHODISTE BETHANIA;EDUCATION;JARDIN D’ENFANT;CONFESSIONNEL;Bon;6,259997;1,680096;16.46814
31;MARITIME;LACS;AGOUEGAN;AGOKPAME;JARDIN D'ENFANTS DE EC ND SACRE CŒUR;EDUCATION;JARDIN D’ENFANT;CONFESSIONNEL;Bon;6,257563;1,647329;20.794067
34;MARITIME;LACS;GLIDJI;AMADOTE;ECOLE PRIVEE LAIQUE LA PASSERELLE;EDUCATION;JARDIN D’ENFANT;PRIVE;Bon;6,238269;1,61393;8.537354
37;MARITIME;LACS;GLIDJI;ANEHO;ECOLE PILOTE METHODISTE EBEN-EZER;EDUCATION;JARDIN D’ENFANT;CONFESSIONNEL;Bon;6,227473;1,589158;6.37439
48;MARITIME;LACS;AKLAKOU;AKLAKOU;JARDIN D'ENFANTS DE EPP D'AKLAKOU A;EDUCATION;JARDIN D’ENFANT;PUBLIC;Bon;6,33564;1,710595;33.771729
52;MARITIME;LACS;AKLAKOU;GNANWOE CONDJI;EPP GNANWOE CONDJI;EDUCATION;JARDIN D’ENFANT;PUBLIC;Bon;6,338126;1,695994;30.407227
56;MARITIME;LACS;AKLAKOU;AKLAKOU;MISSION CATHOLIQUE D'AKLAKOU;EDUCATION;JARDIN D’ENFANT;CONFESSIONNEL;Bon;6,343055;1,712459;21.034424
76;MARITIME;VO;MOME-HOUNKPATI;MOME HAGOU;JEDIL DE MOME HAGOU  A;EDUCATION;JEDIL;PUBLIC;Bon;6,490888;1,557734;85.682495
80;MARITIME;VO;MOME-HOUNKPATI;MOME KATIHOE;EPP MOME KATIHOE  C;EDUCATION;JARDIN D’ENFANT;PUBLIC;Bon;6,522804;1,553518;77.751831
107;MARITIME;VO;VO-KOUTIME;ATCHANDOME;JEP ATCHANDOME;EDUCATION;JARDIN D’ENFANT;PUBLIC;Bon;6,345264;1,56353;46.509155
132;MARITIME;VO;VO-KOUTIME;VO TOKPLI;EPP JEDIL DE VO TOKPLI;EDUCATION;JEDIL;PUBLIC;Mauvais;6,371529;1,557375;48.672119
138;MARITIME;VO;VO-KOUTIME;NETIKOPE/TOKPLI;JE DE EPL LE COCOTIER A NETIKOPE;EDUCATION;JARDIN D’ENFANT;PRIVE;Bon;6,391541;1,538929;59.006104
143;MARITIME;VO;SEVAGAN;SEVAGAN;JE DE EPP SEVAGAN  A/B;EDUCATION;JARDIN D’ENFANT;PUBLIC;Bon;6,300595;1,427347;23.197388
148;MARITIME;VO;SEVAGAN;KPOTA;JEDIL DE EPP SEVAGAN KPOTA;EDUCATION;JEDIL;PUBLIC;Mauvais;6,326156;1,395887;19.832764
150;MARITIME;VO;HAHOTOE;HAHOTOE;JE DE EPP HAHOTOE  B;EDUCATION;JARDIN D’ENFANT;PUBLIC;Bon;6,372049;1,41535;56.122192
152;MARITIME;VO;HAHOTOE;HAHOTOE;JE DE EPP HAHOTOE  A;EDUCATION;JARDIN D’ENFANT;PUBLIC;Bon;6,371001;1,415214;58.285156
155;MARITIME;VO;HAHOTOE;HAHOTOE;JE DE EPL MA PAROLE;EDUCATION;JARDIN D’ENFANT;PRIVE;Bon;6,365137;1,416511;64.053101
157;MARITIME;VO;HAHOTOE;HAHOTOE;JE MINERVA;EDUCATION;JARDIN D’ENFANT;PRIVE;Bon;6,362638;1,410424;63.332153
160;MARITIME;VO;HAHOTOE;HAHOTOE;JE DE EP DE LA CITE MINIERE;EDUCATION;JARDIN D’ENFANT;PARA PUBLIC;Bon;6,36621;1,406116;64.293457
163;MARITIME;VO;HAHOTOE;HAHOTOE;JE DE EPE HAHOTOE  B;EDUCATION;JARDIN D’ENFANT;CONFESSIONNEL;Bon;6,365617;1,409344;59.967407
195;MARITIME;YOTO;AHEPE;KPOWLA;JE DE EPP KPOWLA  1A/1B;EDUCATION;JARDIN D’ENFANT;PUBLIC;Mauvais;6,600734;1,389936;137.593262
196;MARITIME;YOTO;AHEPE;KPOWLA;INSPECTION DU PRESCOLAIRE (YOTO OUEST);EDUCATION;JARDIN D’ENFANT;PUBLIC;Bon;6,594482;1,390383;135.670654
208;MARITIME;YOTO;AHEPE;AGBLETA;ECOLE PROVIDENCE PRIMAIRE;EDUCATION;JARDIN D’ENFANT;CONFESSIONNEL;Bon;6,605265;1,404546;139.515869
216;MARITIME;YOTO;ZAFI;ZAFI;JE DE EPP ZAFI CENTRE  A/B/D;EDUCATION;JARDIN D’ENFANT;PUBLIC;Mauvais;6,625273;1,377079;159.463257
219;MARITIME;YOTO;ZAFI;ZAFI;JE DE EPM DE ZAFI;EDUCATION;JARDIN D’ENFANT;CONFESSIONNEL;Mauvais;6,625715;1,374617;142.880615
222;MARITIME;ZIO;KPOME;KPOME AGOME;JE DE EPP KPOME AGOME;EDUCATION;JARDIN D’ENFANT;PUBLIC;Mauvais;6,334156;1,341712;40.981567
224;MARITIME;ZIO;KPOME;KPOME AGOME;JE DE EPC KPOME AKADJAME;EDUCATION;JARDIN D’ENFANT;CONFESSIONNEL;Mauvais;6,332152;1,339677;37.616943
229;MARITIME;AVE;AKEPE;AKEPE;JE DE EPP AKEPE A/B;EDUCATION;JARDIN D’ENFANT;PUBLIC;Bon;6,245512;1,055052;59.24646
230;MARITIME;AVE;NOEPE;NOEPE;JE DE EPP CENTRALE DE NOEPE  B;EDUCATION;JARDIN D’ENFANT;PUBLIC;Bon;6,255008;1,041085;63.57251
234;MARITIME;AVE;NOEPE;NOEPE;JE DE EPE NOEPE;EDUCATION;JARDIN D’ENFANT;CONFESSIONNEL;Bon;6,26201;1,036894;76.309814
236;MARITIME;AVE;NOEPE;NOEPE;JE DE EPC SAINT ANGE/IC DE NOEPE A/B;EDUCATION;JARDIN D’ENFANT;CONFESSIONNEL;Bon;6,263507;1,037692;77.751831
240;MARITIME;AVE;NOEPE;ATCHAKPO;JE DE EP JEUNESSE EN MISSION;EDUCATION;JARDIN D’ENFANT;CONFESSIONNEL;Mauvais;6,295666;1,021733;82.798706
242;MARITIME;AVE;KEVE;KEVE;JARDIN D'ENFANTS DE EPP CENTRALE DE KEVE A/B;EDUCATION;JARDIN D’ENFANT;PUBLIC;Bon;6,428741;0,931199;129.902832
257;MARITIME;AVE;KEVE;YOMETCHIN;JE DE EPP YOMETCHIN  A;EDUCATION;JARDIN D’ENFANT;PUBLIC;Bon;6,481677;1,008674;108.513794
