N;REGION;PREFECTURE;CANTON;LOCALITE;INFRASTRUCTURE;SECTEUR;TYPE;STATUT;ETAT;LATITUDE;LONGITUDE;ALTITUDE
18;MARITIME;ZIO;TSEVIE;TSEVIE;GROUPE SCOLAIRE SAINTE FATIMA;EDUCATION;LYCEE;PRIVE;Bon;6,410858;1,211675;97.218262
50;MARITIME;LACS;AKLAKOU;AKLAKOU;LYCEE D'AKLAKOU;EDUCATION;LYCEE;PUBLIC;Bon;6,331774;1,707021;29.926514
135;MARITIME;VO;VO-KOUTIME;VO KOUTIME;LYCEE DE VO KOUTIME;EDUCATION;LYCEE;PUBLIC;Bon;6,35938;1,561902;50.35437
192;MARITIME;YOTO;AHEPE;AHEPE;LYCEE AHEPE;EDUCATION;LYCEE;PUBLIC;Bon;6,606218;1,394161;141.919312
323;MARITIME;ZIO;DJAGBLE;DJAGBLE;COMPLEXE SCOLAIRE TRONE DE DIEU;EDUCATION;LYCEE;PRIVE;Bon;6,257967;1,281402;41.462158
324;MARITIME;ZIO;DJAGBLE;DJAGBLE;LYCEE DE DJAGBLE;EDUCATION;LYCEE;PUBLIC;Bon;6,256456;1,282861;41.462158
350;MARITIME;ZIO;TSEVIE;TSEVIE;IPADEV;EDUCATION;LYCEE;PRIVE;Bon;6,429495;1,206211;112.359009
360;MARITIME;ZIO;TSEVIE;TSEVIE;LYCEE II;EDUCATION;LYCEE;PUBLIC;Bon;6,427642;1,19983;110.676636
438;MARITIME;BAS-MONO;KPETSOU;KPESSOU;LYDIL KPESSOU;EDUCATION;LYCEE;COMMUNAUTAIRE;NON FONCTIONNEL;6,516103;1,582202;104.668457
452;MARITIME;VO;DAGBATI;KOUTIDJI;LYDIL DE KOUTISJI;EDUCATION;LYCEE;COMMUNAUTAIRE;Mauvais;6,428322;1,510949;74.387085
494;MARITIME;VO;TOGOVILLE;TOGOVILLE;LYCEE DE TOGOVILLE;EDUCATION;LYCEE;PUBLIC;Bon;6,239551;1,476142;26.321533
506;MARITIME;VO;AKOUMAPE;AKOUMAPE;LYCEE D'AKOUMAPE;EDUCATION;LYCEE;PUBLIC;Bon;6,384856;1,460484;58.765747
546;MARITIME;YOTO;AMOUSSIME;AMOUSSIME;LYCEE AMOUSSIME;EDUCATION;LYCEE;PUBLIC;Mauvais;6,620838;1,513848;63.812744
606;MARITIME;AVE;ASSAHOUN + ANDO;ASSAHOUN;LYCEE ASSAHOUN;EDUCATION;LYCEE;PUBLIC;Bon;6,460772;0,906944;133.0271
618;MARITIME;AVE;ASSAHOUN + ANDO;KEVE;LYCEE KEVE;EDUCATION;LYCEE;PUBLIC;Bon;6,439132;0,921154;131.825439
