N;REGION;PREFECTURE;CANTON;LOCALITE;INFRASTRUCTURE;SECTEUR;TYPE;STATUT;ETAT;LATITUDE;LONGITUDE;ALTITUDE
1;MARITIME;ZIO;TSEVIE;TSEVIE;COMPLEXE SCOLAIRE SAINT CHRISTOPHE;EDUCATION;ECOLE PRIMAIRE;PRIVE;Bon;6,419553;1,202845;109.234741
4;MARITIME;ZIO;TSEVIE;TSEVIE;COMPLEXE SCOLAIRE LES DISCIPLES II;EDUCATION;ECOLE PRIMAIRE;PRIVE;Mauvais;6,415627;1,198581;107.312012
6;MARITIME;ZIO;TSEVIE;TSEVIE;ECOLE PRIVEE LAIQUE DIDEROT;EDUCATION;ECOLE PRIMAIRE;PRIVE;Bon;6,416341;1,209922;104.668457
8;MARITIME;ZIO;TSEVIE;TSEVIE;EPP DAVIEMODJI;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,413746;1,207037;99.140869
11;MARITIME;ZIO;TSEVIE;TSEVIE;ESAM 3;EDUCATION;ECOLE PRIMAIRE;PRIVE;Bon;6,40273;1,208673;94.094116
14;MARITIME;ZIO;TSEVIE;TSEVIE;ECOLE PRIVEE LAIQUE LA MATURITE;EDUCATION;ECOLE PRIMAIRE;PRIVE;Bon;6,407159;1,209738;95.536011
16;MARITIME;ZIO;TSEVIE;TSEVIE;GROUPE SCOLAIRE SAINTE FATIMA;EDUCATION;ECOLE PRIMAIRE;PRIVE;Bon;6,410968;1,211734;95.05542
20;MARITIME;ZIO;TSEVIE;TSEVIE;ECOLE PRIMAIRE PRIVEE LAIQUE FIATY;EDUCATION;ECOLE PRIMAIRE;PRIVE;Bon;6,415377;1,212995;98.419922
21;MARITIME;ZIO;TSEVIE;TSEVIE;EPP DAVIEMODJI D;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,40518;1,202217;103.707153
24;MARITIME;LACS;AGOUEGAN;ZANVE;EPP ZANVE;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,286472;1,75701;17.189209
25;MARITIME;LACS;AGOUEGAN;AGBANAKIN;EPP ZANVE;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,286472;1,75701;17.189209
26;MARITIME;LACS;AGOUEGAN;DJETA;EPP DJETA A;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,274054;1,732274;17.910156
28;MARITIME;LACS;AGOUEGAN;AGOUEGAN;ECOLE METHODISTE BETHANIA;EDUCATION;ECOLE PRIMAIRE;CONFESSIONNEL;Bon;6,25974;1,680315;16.227905
30;MARITIME;LACS;AGOUEGAN;KLOUVIDONOU;ECOLE PRIMAIRE PRIVEE LAIQUE VIRGO REGINA;EDUCATION;ECOLE PRIMAIRE;PRIVE;Bon;6,269186;1,661856;24.639282
32;MARITIME;LACS;GLIDJI;ZEBE;EPP DEZEBEVI;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,25066;1,610119;17.910156
33;MARITIME;LACS;GLIDJI;AMADOTE;ECOLE PRIVEE LAIQUE LA PASSERELLE;EDUCATION;ECOLE PRIMAIRE;PRIVE;Bon;6,238222;1,613886;9.017944
36;MARITIME;LACS;GLIDJI;ANEHO;ECOLE PILOTE METHODISTE EBEN-EZER;EDUCATION;ECOLE PRIMAIRE;CONFESSIONNEL;Bon;6,227616;1,589164;3.971191
39;MARITIME;LACS;AKLAKOU;DJONDO KONDJI;EPP DE DJONDO CONDJI;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,29277;1,679747;22.716675
40;MARITIME;LACS;AKLAKOU;DJONDO KONDJI;ECOLE DE KAGNAGBO KONDJI;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,28889;1,697968;20.07312
41;MARITIME;LACS;AGOUEGAN;SIVAME;EPP DE SIVAME;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,289813;1,713675;24.639282
42;MARITIME;LACS;AGOUEGAN;SIVAME;EP PRIVE LAIQUE VICTOR HUGO;EDUCATION;ECOLE PRIMAIRE;PRIVE;Bon;6,295305;1,715488;25.600586
43;MARITIME;LACS;AKLAKOU;AZIMEGAN;EPP D'AZIMEGAN;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,300656;1,7383;28.003906
44;MARITIME;LACS;AKLAKOU;HLANDE;EPP DE HLANDE;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,319481;1,730762;24.398926
45;MARITIME;LACS;AKLAKOU;AKLAKOU;EPP D'AKLAKOU D;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,333171;1,716769;34.492798
46;MARITIME;LACS;AKLAKOU;AKLAKOU;EPP D'AKLAKOU A;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,335716;1,71003;33.050781
47;MARITIME;LACS;AKLAKOU;AKLAKOU;EPP D'AKLAKOU B;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,336034;1,709811;34.733154
51;MARITIME;LACS;AKLAKOU;GNANWOE CONDJI;EPP GNANWOE CONDJI;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,338016;1,696041;22.957031
54;MARITIME;LACS;AKLAKOU;AKLAKOU;EPP D'AKLAKOU C;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,338067;1,707331;28.724976
55;MARITIME;LACS;AKLAKOU;AKLAKOU;MISSION CATHOLIQUE D'AKLAKOU;EDUCATION;ECOLE PRIMAIRE;CONFESSIONNEL;Bon;6,343565;1,712545;17.429565
57;MARITIME;LACS;AKLAKOU;AKLAKOU;ECOLE PRIVEE LAIQUE LA PATIENCE;EDUCATION;ECOLE PRIMAIRE;PRIVE;Mauvais;6,332693;1,716295;28.724976
59;MARITIME;BAS-MONO;ATTITOGON;ATTITOGON;ECOLE DES ASSEMBLEE DE DIEU D'ATTITOGON;EDUCATION;ECOLE PRIMAIRE;CONFESSIONNEL;Bon;6,413924;1,663602;55.401245
61;MARITIME;BAS-MONO;HOMPOU;ADAKOKOU KOPE;EPP ADAKOKOU KOPE;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,424085;1,68899;54.199585
62;MARITIME;BAS-MONO;ATTITOGON;AHONTO KOPE;EPP AHONTO KOPE;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,395543;1,68209;48.191528
63;MARITIME;BAS-MONO;ATTITOGON;BLAMA KONDJI;EPP BLAMA KONDJI;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,399155;1,671911;49.633423
64;MARITIME;BAS-MONO;ATTITOGON;TOULASSI KONDJI;EPP TOULASSI KONDJI;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,404474;1,668803;49.15271
65;MARITIME;BAS-MONO;ATTITOGON;ATTIVE;EPP ATTIVE;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,458014;1,707537;17.429565
68;MARITIME;BAS-MONO;AGOME-GLOZOU + AGBETIKO;AGBETIKO;EPC D'AGBETIKO;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,496751;1,711911;22.235962
69;MARITIME;BAS-MONO;AGOME-GLOZOU + AGBETIKO;AGBETIKO;EPP D'AGBETIKO;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,497102;1,71031;20.07312
70;MARITIME;BAS-MONO;AGOME-GLOZOU + AGBETIKO;GBANDI AVEGBO;EPP GBANDI AVEGBO;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,533922;1,697183;17.189209
71;MARITIME;BAS-MONO;AGOME-GLOZOU + AGBETIKO;KPETETO;EPP ALOENOU KPETETO;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,531962;1,658949;21.034424
72;MARITIME;BAS-MONO;AGOME-GLOZOU + AGBETIKO;ALOENOU NOUINYAPE;EPP KOUGBI;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,515211;1,662282;21.034424
73;MARITIME;BAS-MONO;AFAGNAGAN;KLIKAME;EPP KLANTOME;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,563631;1,645834;21.27478
74;MARITIME;BAS-MONO;KPETSOU;LOM NAVA;EPP LOM NAVA;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,565646;1,598695;41.221924
75;MARITIME;VO;MOME-HOUNKPATI;MOME HAGOU;EPP MOME HAGOU  A;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,490958;1,557563;82.317993
77;MARITIME;VO;MOME-HOUNKPATI;MOME HAGOU;EPP DE MOME HAGOU  B;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,497492;1,554802;76.309814
79;MARITIME;VO;MOME-HOUNKPATI;MOME KATIHOE;EPP MOME KATIHOE  A/B;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,522636;1,553661;73.425781
81;MARITIME;VO;MOME-HOUNKPATI;MOME KATIHOE;EPP MOME KATIHOE  C;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,523952;1,54707;61.890137
82;MARITIME;VO;MOME-HOUNKPATI;KATIHOE;EPP WATCHIDOME;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,519616;1,544362;58.0448
83;MARITIME;VO;MOME-HOUNKPATI;DJOKOTO;EPL NDG DJOKOTO;EDUCATION;ECOLE PRIMAIRE;PRIVE;Bon;6,511122;1,53071;57.083496
84;MARITIME;VO;MOME-HOUNKPATI;ATOGOPEME;EPP ATOGOPEME;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,523713;1,521303;56.362549
85;MARITIME;VO;MOME-HOUNKPATI;GNITO;EPP GNITO   A;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,541832;1,531279;43.625122
86;MARITIME;VO;MOME-HOUNKPATI;HOUDEBAKE COPE;EPP GNITO  B;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,551283;1,532577;50.835083
87;MARITIME;VO;MOME-HOUNKPATI;EMON-KPOTA;EPP EMON-KPOTA;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,553758;1,562168;71.262939
88;MARITIME;VO;MOME-HOUNKPATI;WODZEPE;EPP WODZEPE  A/B;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,466721;1,559839;80.876099
89;MARITIME;VO;MOME-HOUNKPATI;WODZEPE;EPP WODZEPE  D;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,460817;1,555278;78.472778
90;MARITIME;VO;MOME-HOUNKPATI;BALIME;EPP MOME-HOUNKPATI;EDUCATION;ECOLE PRIMAIRE;CONFESSIONNEL;Bon;6,4685;1,556488;80.635742
92;MARITIME;VO;MOME-HOUNKPATI;ADIDOME;EPP WODZEPE  C;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,476737;1,561476;83.279297
93;MARITIME;VO;MOME-HOUNKPATI;ATIKESSIME;EPP MOME HOUNKPATI  A/B;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,47438;1,556167;87.845459
94;MARITIME;VO;MOME-HOUNKPATI;DJITA;EPP ATSANSI DJITA;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,458648;1,5472;69.820923
95;MARITIME;VO;MOME-HOUNKPATI;DJITA;EPC ATSANSI DJITA;EDUCATION;ECOLE PRIMAIRE;CONFESSIONNEL;Mauvais;6,456532;1,545798;70.061279
97;MARITIME;VO;MOME-HOUNKPATI;ATSANSI;EPP ATSANSI;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,448405;1,543014;55.641602
98;MARITIME;VO;MOME-HOUNKPATI;ATSANSI;EPE ATSANSI;EDUCATION;ECOLE PRIMAIRE;CONFESSIONNEL;Mauvais;6,444667;1,549039;61.169189
99;MARITIME;VO;MOME-HOUNKPATI;TCHADIPEME;EPP TCHADIPEME;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,449172;1,55134;76.550171
100;MARITIME;VO;MOME-HOUNKPATI;GBEDEPEME;EPP GBEDEPEME;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,449117;1,560178;84.961548
101;MARITIME;VO;MOME-HOUNKPATI;AVEGLOEDJI;EPP AVEGLOEDJI;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,441373;1,564671;69.820923
102;MARITIME;VO;MOME-HOUNKPATI;AVEGLOEDJI;EPC AVECGLOEDJI;EDUCATION;ECOLE PRIMAIRE;CONFESSIONNEL;Bon;6,440409;1,561913;68.619263
104;MARITIME;VO;VO-KOUTIME;DJOKOPE;EPP ATSANSI DJOKOPE;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,428766;1,549204;45.788208
105;MARITIME;VO;DZREKPO/AMEGNRAN;ATCHANVEGLO;EPP ATCHANVEGLO  A/B;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,434174;1,563989;67.898315
106;MARITIME;VO;VO-KOUTIME;ATCHANDOME;EPP ATCHANDOME  A/B;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,345252;1,563403;41.942871
108;MARITIME;VO;VO-KOUTIME;AYATA;EPE AYATA;EDUCATION;ECOLE PRIMAIRE;CONFESSIONNEL;Bon;6,336926;1,569398;46.989868
109;MARITIME;VO;VO-KOUTIME;ADJODOGOU;EPP ADJODOGOU;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Bon;6,332496;1,572816;28.244263
111;MARITIME;VO;VO-KOUTIME;BOKO;EPP SODAME  B;EDUCATION;ECOLE PRIMAIRE;PUBLIC;Mauvais;6,327326;1,587108;38.818604
